PHYTOPLANKTON_GROUP,PERCENT_TOTAL_BV
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.34
Cryptophyta,0.10
Cryptophyta,0.03
Cryptophyta,0.02
Cryptophyta,0.01
Cryptophyta,0.00
Cryptophyta,0.06
Cryptophyta,0.00
Cryptophyta,0.01
Cryptophyta,0.01
Cryptophyta,0.04
Cryptophyta,0.02
Cryptophyta,0.00
Cryptophyta,0.04
Cryptophyta,0.05
Cryptophyta,0.10
Cryptophyta,0.00
Cryptophyta,0.04
Cryptophyta,0.00
Cryptophyta,0.04
Cryptophyta,0.16
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.01
Cryptophyta,0.00
Cryptophyta,0.03
Cryptophyta,0.03
Cryptophyta,0.23
Cryptophyta,0.00
Cryptophyta,0.01
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.01
Cryptophyta,0.05
Cryptophyta,0.03
Cryptophyta,0.07
Cryptophyta,0.01
Cryptophyta,0.02
Cryptophyta,0.03
Cryptophyta,0.00
Cryptophyta,0.02
Cryptophyta,0.09
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.03
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.01
Cryptophyta,0.02
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.01
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.06
Cryptophyta,0.02
Cryptophyta,0.12
Cryptophyta,0.01
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.07
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.11
Cryptophyta,0.00
Cryptophyta,0.07
Cryptophyta,0.01
Cryptophyta,0.03
Cryptophyta,0.00
Cryptophyta,0.04
Cryptophyta,0.13
Cryptophyta,0.09
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.06
Cryptophyta,0.00
Cryptophyta,0.02
Haptophyta,0.00
Haptophyta,0.01
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.01
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.08
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.01
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.01
Haptophyta,0.00
Haptophyta,0.01
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.01
Haptophyta,0.00
Haptophyta,0.02
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.01
Haptophyta,0.00
Haptophyta,0.05
Haptophyta,0.00
Haptophyta,0.08
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.01
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.01
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.04
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.01
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Haptophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.05
Ochrophyta,0.00
Ochrophyta,0.02
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.02
Ochrophyta,0.01
Ochrophyta,0.10
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.04
Ochrophyta,0.01
Ochrophyta,0.01
Ochrophyta,0.01
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.02
Ochrophyta,0.02
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.01
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.04
Ochrophyta,0.03
Ochrophyta,0.00
Ochrophyta,0.01
Ochrophyta,0.00
Ochrophyta,0.01
Ochrophyta,0.15
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.04
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.06
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.01
Ochrophyta,0.01
Ochrophyta,0.00
Ochrophyta,0.01
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.10
Ochrophyta,0.01
Ochrophyta,0.00
Ochrophyta,0.12
Ochrophyta,0.00
Ochrophyta,0.02
Ochrophyta,0.01
Ochrophyta,0.01
Ochrophyta,0.03
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.71
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.02
Ochrophyta,0.09
Ochrophyta,0.00
Ochrophyta,0.01
Ochrophyta,0.21
Ochrophyta,0.00
Ochrophyta,0.02
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.02
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.02
Ochrophyta,0.00
Ochrophyta,0.01
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.05
Ochrophyta,0.02
Ochrophyta,0.10
Ochrophyta,0.00
Ochrophyta,0.03
Ochrophyta,0.01
Ochrophyta,0.00
Ochrophyta,0.02
Ochrophyta,0.00
Ochrophyta,0.01
Ochrophyta,0.01
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.17
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.00
Ochrophyta,0.02
Euglenozoa,0.11
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.11
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.02
Euglenozoa,0.02
Euglenozoa,0.28
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.02
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.14
Euglenozoa,0.00
Euglenozoa,0.14
Euglenozoa,0.02
Euglenozoa,0.00
Euglenozoa,0.01
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.01
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.04
Euglenozoa,0.14
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.04
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.04
Euglenozoa,0.00
Euglenozoa,0.03
Euglenozoa,0.08
Euglenozoa,0.01
Euglenozoa,0.05
Euglenozoa,0.07
Euglenozoa,0.00
Euglenozoa,0.04
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.15
Euglenozoa,0.06
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.01
Euglenozoa,0.06
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.01
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.10
Euglenozoa,0.00
Euglenozoa,0.10
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.08
Euglenozoa,0.00
Euglenozoa,0.01
Euglenozoa,0.00
Euglenozoa,0.25
Euglenozoa,0.02
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.02
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.12
Euglenozoa,0.00
Euglenozoa,0.05
Euglenozoa,0.08
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.00
Euglenozoa,0.01
Euglenozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.02
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.49
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.10
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.03
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.03
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.03
Miozoa,0.00
Miozoa,0.85
Miozoa,0.11
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.26
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.00
Miozoa,0.06
Miozoa,0.00
Miozoa,0.00
Miozoa,0.77
