,Cyanobacteria,Chlorophyta,Bacillariophyta,Charophyta,Cryptophyta,Haptophyta,Ochrophyta,Euglenozoa,Miozoa,UL,FR,GS,AG,WL,LT,LN,PR
Foss,0.460514242,0.026513322,0.013702474,0,0.003439275,0.008724538,0.00365423,0,0,3.19,1.6,84.44,9.44,107.29,35.54,-99.19,61.8
Frederick,2.941310639,0.187088801,0.059369151,0,0.037122335,0,0.574236121,0,0,3.34,0.42,83.4,10.04,41.75,34.51,-98.89,71.5
Fuqua,2.138913872,0.829852336,0.091078446,0.009083371,0.141798038,0.004126597,0,0,0,4.41,27.6,56.76,5.08,15.98,34.6,-97.67,87.7
Grand,0.928613712,0.06881368,0.034433025,0,0.022316904,0.00217133,0,0,0,7.79,37.21,1.68,43.34,10.31,36.47,-95.03,109.83
Great Salt Plains,2.774471791,4.753686051,0.671243124,0,0,0,0.378130331,0.356288255,0.168005082,3.09,1.2,63.26,29.91,232.26,36.74,-98.16,67
Greenleaf,1.647888898,0.061470389,0.442688254,0.006655213,0.106230376,0,0.00730585,0.364038586,0,3.31,68.83,9.92,16,60.43,35.62,-95.17,110.3
Hauani,0.503866168,0.030248736,0.012856146,0,0.030473667,0,0,0,0,2.78,20.95,59.41,16.11,27.46,34.06,-96.88,97.9
Hefner,1.603920713,0.222312322,0.383022005,0,0.256518275,0.026182668,0.169138639,0,0,55.75,0.84,2.78,0.24,2.37,35.58,-97.6,84.2
Henryetta,3.432418756,0.031904297,0,0,0,0,0,0,0,3.94,44.09,19.12,28.57,24.95,35.42,-95.92,105.4
Heyburn,3.597112781,0.192281896,0.00556835,0,0.167050508,0.194892259,0,0.168442595,0,3.84,61.54,28.1,5.39,118.24,35.95,-96.3,94.6
Holdenville,2.051240355,0.043912629,0.024869064,0.040215863,0,0,0,0,0,5.48,37.16,23.45,28.64,16.62,35.03,-96.37,99.2
Hominy,1.262954892,0.149661544,0.055881695,0,0.074971947,0.127888106,0,0,0,4.11,10.66,79.5,3.96,17.97,36.41,-96.42,94.2
Hudson-Mayes_cty,0.647710842,0.21222985,0.361382032,0,0.239213828,0,0.008725406,0.062678198,0,5.63,39,2.64,46.82,21.17,36.23,-95.18,109.2
Hudson-Osage_cty,0.647079361,0.371036448,0.592097321,0.003876094,0,0,0.032086019,0.015856748,1.6261486,2.03,36.23,51.34,7.06,31.35,36.81,-96.03,93.7
Hugo,1.45247574,0.299519123,5.078951436,0,0.005437842,0,0,0.179509691,0,2.69,66.59,8.83,16.46,94.05,34.01,-95.38,123
Hulah,1.916630018,0.126293064,0.269508316,0.016530637,0.03711907,0,0.017991489,0.218470742,0,3.21,20.9,48.95,20.05,172.92,36.93,-96.09,91.6
Humphreys,3.825354495,0.866774964,0.046687397,0.12025202,0,0,0.005892847,0.054644791,0,8.96,18.41,62.49,5.75,23.25,34.59,-97.89,86.4
Jean Neustadt,1.061221643,0.455298724,0.036808051,0,0.060486205,0,0.004750499,0.092924059,0.200089386,5.82,16.62,50.28,22.99,24.23,34.28,-97.17,91.4
