,CL,PS,TB,CN,DO,pH,TM,NOx,Cyanobacteria,Chlorophyta,Bacillariophyta,Charophyta,Cryptophyta,Haptophyta,Ochrophyta,Euglenozoa,Miozoa
Okemah,10.16,0.02775,11.825,137.85,8.535,7.555,19.35875,0.13,1.890971682,0.060169157,0.175181099,0.033559747,0.010524182,0,0.041762627,0,0
Okmulgee,6.736666667,0.024,9,76.65,8.426666667,7.31,18.82566667,0.085,0.771869608,0.065645208,0.072570596,0.074943299,0.019576231,0.008352525,0.095592244,0,0
Oologah,3.795714286,0.083142857,12.59,256.35,8.982142857,7.865714286,17.57428571,0.338,0.685929936,0.00134767,0.031142988,0,0.071915244,0,0,0,0
Overholser,44.05,0.191,33.725,760.525,9.577142857,8.508571429,14.27642857,0.07,4.054064715,0.844454664,0.26789736,0.002205589,0.010023031,0,0.04436855,0.070963839,0
Pauls Valley,6.91,0.04675,27.59,260.9,8.6125,7.9725,17.53825,0.15,2.83020987,0.025834693,1.383268374,0,0.110279437,0,0,0,0
Pine Creek,14.53666667,0.033666667,10.33333333,29.9,8.153333333,7.19,22.359,0.08,1.700156441,29.03055993,0.135074779,0.049692258,0.187279719,0.017869097,0,0,0
Ponca,26.3175,0.03775,5.815,328.85,9.4775,8.02,21.70075,0.23,3.655026756,0.142661984,0.41698614,0,0.107313032,0.021344748,0,0,0
Raymond Gary,9.683333333,0.044333333,16.33333333,89.86666667,6.446666667,7.006666667,16.618,0.093333333,0.494792093,0.186206239,0,0,0,0,0,0,0
RC Longmire,14.74125,0.040875,11.41875,236.225,9.495,8.14625,19.087875,0.34,2.257889845,0.259000788,0.119529192,0.001796413,0.002681161,0,0.000704744,0.28722338,0
Sardis,7.6175,0.03,16.55,39.33333333,8.47,7.1725,18.65075,0.06,5.657036174,0.053457385,0.02650948,0,0.030451916,0,0,0,0
Shawnee Twin #1,6.5625,0.01675,12,180,9.705,8.115,16.6275,0.14,1.603759931,0.095186598,0.019628435,0,0,0,0,0,0
Shawnee Twin #2,12.2675,0.017,8.25,176.1333333,9.915,8.2225,16.673,0.075,2.101112165,0.063343277,0.020046061,0,0,0,0,0,0
Shell,14.33333333,0.027,8.63,193.7,8.25,8.046666667,21.706,0.16,2.656529411,0.112529398,0.107900734,0.055204973,0.207977882,0.035210674,0.078320587,0,0
Spavinaw,20.0325,0.03575,7.19375,166.075,9.805,8.21,18.90375,0.493333333,0.444772307,0.396304215,0.293466384,0.001057117,0.01549785,0,0.001585675,0.007517273,0
Sportsman,3.103333333,0.025,16.43333333,174.5,9.453333333,7.4,14.34966667,0.076666667,1.562673319,0.00722798,0,0,0,0,0,0,0
Stroud,5.5775,0.018625,11.0625,167.475,8.87125,7.8325,18.81725,0.12,0.775331141,0.003210191,0.006054395,0,0.060860546,0,0.020592592,0.013703362,0
Taylor,44.56666667,0.11575,11.425,437.75,10.1875,8.515,19.1375,0.14,2.214277024,0.274897491,0.094231549,0,0,0,0.066689695,0.002349148,0
Tecumseh,7.776666667,0.067666667,60.96666667,281.3,8.456666667,7.636666667,19.045,0.19,3.66867369,0.116674339,0.716925096,0,0.535083658,0,0.060033776,0,0
Texoma,15.28,0.0352,4.2,1769.9,9.102,8.124,20.4446,0.11,1.582893277,0.317855642,0.276242824,0,0.184188447,0.110464424,0.050509826,0,0
Thunderbird,14.245,0.0305,6.54,400.7,9.8325,8.3175,17.93125,0.275,1.79287573,0.067564733,0.148483757,0.046530527,0.019298902,0,0,0,0
Tom Steed,13.155,0.069,15.4,1177.5,9.9275,8.3275,15.96575,0.19,1.593802929,0.123194369,0.123995006,0,0.066510246,0.008700547,0.028711806,0,0
Waurika,7.2775,0.10775,9.235,615.7,10.0375,8.3875,15.341,0.083333333,2.250117779,0.834179109,0.017540303,0,0.122440429,0.002610164,0,0,0
Waxhoma,5.513333333,0.029,15.59333333,68.73333333,9.723333333,7.616666667,12.73133333,0.13,0.912152008,0.033384919,0.019440784,0,0.152008132,0.006066402,0,0.06194042,0
Webbers Falls,16.92,0.2065,40.5,507.3,9.985,7.845,15.665,0.655,2.791452394,0.245415946,0,0,0,0,0.613910616,0,0
Wes Watkins,28,0.038666667,28,212.9,9.386666667,8.2,19.126,0.34,9.907372321,0.173482649,0.00222734,0,0,0,0,0,0
Wetumka,11.19333333,0.045,19.66666667,83.53333333,9.916666667,7.453333333,14.75133333,0.07,1.234613651,0.063883856,0.002917618,0,0.005011515,0.001670505,0,0,0.081854749
Wiley Post,9.9425,0.1395,47.35,368.3,8.345,8.0425,17.03575,0.17,3.859862578,0.093300319,0.070474433,0,0.269212595,0,0,0,0
Wister,23.13333333,0.074333333,26.36666667,103.8,8.706666667,7.15,17.831,0.14,2.899092689,0.233573039,3.205379065,0,0,0.010440657,0.018793182,0.051159218,0
